,project,prefixes,prefixes_names,main_releases,rapid_releases,trad_releases,patches,releases,time
0,allegro/bigcache,1,v,7,0,2,15,22,0 days 00:00:00.030475
1,robinvdvleuten/vuex-persistedstate,1,v,21,1,6,14,35,0 days 00:00:00.035636
2,lambci/docker-lambda,13,build-nodejs build-java build-provided.al build-ruby build-dotnetcore java ruby python provided.al v dotnetcore nodejs build-python,19,0,2,30,49,0 days 00:00:00.045024
3,mindoc-org/mindoc,1,v,14,8,3,17,31,0 days 00:00:00.050835
4,expressjs/session,1,v,17,1,5,45,62,0 days 00:00:00.056912
5,ratchetphp/Ratchet,1,v,4,0,3,23,27,0 days 00:00:00.059367
6,webpy/webpy,3, webpy- v,15,0,10,2,17,0 days 00:00:00.072579
7,1adrianb/face-alignment,1,v,5,1,2,5,10,0 days 00:00:00.020352
8,soldair/node-qrcode,3, issue- v,14,1,6,17,31,0 days 00:00:00.034120
9,bytedance/IconPark,1,v,4,0,0,32,36,0 days 00:00:00.027777
10,jquense/react-big-calendar,1,v,37,4,5,77,114,0 days 00:00:00.164497
11,FaisalUmair/udemy-downloader-gui,1,v,9,3,1,12,21,0 days 00:00:00.022296
12,telegraf/telegraf,2, v,68,11,5,112,180,0 days 00:00:00.237530
13,VirusTotal/yara,1,v,17,1,12,16,33,0 days 00:00:00.253125
14,googleapis/google-api-python-client,1,v,60,8,3,52,112,0 days 00:00:00.213749
15,infinitered/nsfwjs,1,v,6,0,4,5,11,0 days 00:00:00.041163
16,stevenjoezhang/live2d-widget,1,v,8,1,0,9,17,0 days 00:00:00.015722
17,lokesh/lightbox2,2, v,7,0,6,9,16,0 days 00:00:00.027673
18,microsoft/VFSForGit,1,v,0,0,0,31,31,0 days 00:00:00.153004
19,kickstarter/android-oss,1,v,36,14,5,36,72,0 days 00:00:00.352842
20,bblanchon/ArduinoJson,1,v,42,10,7,56,98,0 days 00:00:00.100068
21,Yelp/dumb-init,1,v,8,2,3,14,22,0 days 00:00:00.026035
22,weolar/miniblink49,1,,5,0,0,27,32,0 days 00:00:00.097766
23,midwayjs/midway,3,serverless- serverless-v v,47,16,1,337,384,0 days 00:00:00.546331
24,google/gops,1,v,3,0,0,24,27,0 days 00:00:00.022720
25,Netflix/metaflow,3, rec_ nflx-,7,0,3,54,61,0 days 00:00:00.053793
26,kubernetes/autoscaler,5,vertical-pod-autoscaler/v addon-resizer- cluster-autoscaler-chart- vertical-pod-autoscaler- cluster-autoscaler-,49,9,17,134,183,0 days 00:00:00.571725
27,kalcaddle/KodExplorer,2, v,31,2,6,3,34,0 days 00:00:00.023080
28,shaka-project/shaka-player,1,v,18,1,10,119,137,0 days 00:00:00.644043
29,operator-framework/operator-sdk,2,scorecard-kuttl/v v,42,30,0,47,89,0 days 00:00:00.217902
30,apache/zeppelin,1,v,5,0,4,10,15,0 days 00:00:00.381200
31,botman/botman,2, v,17,8,4,44,61,0 days 00:00:00.062190
32,vuejs/apollo,2, v,5,1,1,8,13,0 days 00:00:00.055595
33,listen1/listen1_desktop,1,v,26,3,1,40,66,0 days 00:00:00.031006
34,projectdiscovery/subfinder,2, v,10,3,4,24,34,0 days 00:00:00.063346
35,ecrmnn/collect.js,1,,35,2,1,154,189,0 days 00:00:00.107217
36,lets-blade/blade,1,,1,0,0,1,2,0 days 00:00:00.018935
37,substack/tape,1,v,50,2,10,85,135,0 days 00:00:00.092207
38,yzhao062/pyod,3,V v. v,4,0,2,24,28,0 days 00:00:00.104742
39,HashLips/hashlips_art_engine,0,,0,0,0,0,0,0 days 00:00:00.013263
40,go-yaml/yaml,1,v,6,1,1,10,16,0 days 00:00:00.035742
41,bchavez/Bogus,1,v,7,0,0,97,104,0 days 00:00:00.071554
42,capstone-engine/capstone,1,,5,2,2,9,14,0 days 00:00:00.260003
43,encode/apistar,1,,6,0,0,88,94,0 days 00:00:00.067632
44,facebook/facebook-android-sdk,2,sdk-version- v,95,30,3,44,139,0 days 00:00:00.265109
45,eternnoir/pyTelegramBotAPI,1,,15,3,7,37,52,0 days 00:00:00.139478
46,springfox/springfox,6, swagger-springmvc- CI-master- v pre- swagger-springmvc-parent-,21,5,14,54,75,0 days 00:00:00.306360
47,assaf/zombie,2, v,21,8,5,111,132,0 days 00:00:00.122078
48,imba/imba,4, typescript-imba-plugin@ vsimba@ v,6,0,4,51,57,0 days 00:00:00.233401
