project,prefixes,prefixes_names,main_releases,rapid_releases,trad_releases,patches,releases,time,uncommon_prefixes
robinvdvleuten/vuex-persistedstate,1,v,21,9,7,14,35,0 days 00:00:00.035491,0
mindoc-org/mindoc,1,v,14,10,3,17,31,0 days 00:00:00.050274,0
expressjs/session,1,v,17,7,6,45,62,0 days 00:00:00.055577,0
1adrianb/face-alignment,1,v,5,1,2,5,10,0 days 00:00:00.018325,0
bytedance/IconPark,1,v,4,1,1,32,36,0 days 00:00:00.025177,0
jquense/react-big-calendar,1,v,37,18,12,77,114,0 days 00:00:00.151656,0
FaisalUmair/udemy-downloader-gui,1,v,9,4,2,12,21,0 days 00:00:00.022450,0
telegraf/telegraf,2, v,68,48,5,112,180,0 days 00:00:00.234147,0
VirusTotal/yara,1,v,17,1,12,16,33,0 days 00:00:00.243392,0
googleapis/google-api-python-client,1,v,60,50,6,52,112,0 days 00:00:00.119688,0
stevenjoezhang/live2d-widget,1,v,8,5,2,9,17,0 days 00:00:00.016767,0
kickstarter/android-oss,1,v,36,18,5,36,72,0 days 00:00:00.342754,0
bblanchon/ArduinoJson,1,v,42,20,11,56,98,0 days 00:00:00.099292,0
Yelp/dumb-init,1,v,8,4,3,14,22,0 days 00:00:00.026186,0
shaka-project/shaka-player,1,v,18,2,10,119,137,0 days 00:00:00.498387,0
kalcaddle/KodExplorer,2, v,31,15,10,3,34,0 days 00:00:00.024057,0
botman/botman,2, v,17,9,6,44,61,0 days 00:00:00.062936,0
vuejs/apollo,2, v,5,1,2,8,13,0 days 00:00:00.040571,0
listen1/listen1_desktop,1,v,26,18,5,40,66,0 days 00:00:00.029957,0
ecrmnn/collect.js,1,,35,24,5,154,189,0 days 00:00:00.109005,0
projectdiscovery/subfinder,2, v,10,5,4,24,34,0 days 00:00:00.068821,0
substack/tape,1,v,50,23,16,85,135,0 days 00:00:00.091631,0
go-yaml/yaml,1,v,6,2,3,10,16,0 days 00:00:00.026943,0
bchavez/Bogus,1,v,7,5,1,97,104,0 days 00:00:00.083760,0
capstone-engine/capstone,1,,5,2,2,9,14,0 days 00:00:00.256542,0
