project,prefixes,prefixes_names,main_releases,rapid_releases,trad_releases,patches,releases,time
Yelp/dumb-init,1,v,8,2,3,14,22,0 days 00:00:00.035493
kalcaddle/KodExplorer,2, v,31,2,6,3,34,0 days 00:00:00.038766
mindoc-org/mindoc,1,v,14,8,3,17,31,0 days 00:00:00.059192
botman/botman,2, v,17,8,4,44,61,0 days 00:00:00.080103
projectdiscovery/subfinder,2, v,10,3,4,24,34,0 days 00:00:00.081252
jquense/react-big-calendar,1,v,37,4,5,77,114,0 days 00:00:00.096628
bblanchon/ArduinoJson,1,v,42,10,7,56,98,0 days 00:00:00.119929
substack/tape,1,v,50,2,10,85,135,0 days 00:00:00.095051
googleapis/google-api-python-client,1,v,60,8,3,52,112,0 days 00:00:00.140813
joeyespo/grip,1,v,15,2,10,9,24,0 days 00:00:00.047465
telegraf/telegraf,2, v,68,11,5,112,180,0 days 00:00:00.154625
neutralinojs/neutralinojs,1,v,26,18,4,4,30,0 days 00:00:00.087250
eternnoir/pyTelegramBotAPI,1,,15,3,7,37,52,0 days 00:00:00.114961
tijsverkoyen/CssToInlineStyles,1,,9,2,2,20,29,0 days 00:00:00.026513
Xhofe/alist,1,v,9,5,2,33,42,0 days 00:00:00.050172
thephpleague/omnipay,2, v,12,3,4,18,30,0 days 00:00:00.049806
assaf/zombie,2, v,21,8,5,111,132,0 days 00:00:00.131176
kyleconroy/sqlc,2, v,15,6,3,1,16,0 days 00:00:00.064304
capstone-engine/capstone,1,,5,2,2,9,14,0 days 00:00:00.217119
lebab/lebab,1,v,14,8,2,28,42,0 days 00:00:00.062668
OpenNMT/OpenNMT-py,2, v,15,5,7,14,29,0 days 00:00:00.150767
kickstarter/android-oss,1,v,36,14,5,36,72,0 days 00:00:00.362795
nodeca/js-yaml,1,,23,2,11,51,74,0 days 00:00:00.184967
docker/docker-py,1,,40,7,11,63,103,0 days 00:00:00.320314
documentationjs/documentation,1,v,36,3,4,49,85,0 days 00:00:00.192397
haifengl/smile,1,v,12,3,6,10,22,0 days 00:00:00.241166
sockeqwe/mosby,1,,7,3,2,8,15,0 days 00:00:00.040529
nl8590687/ASRT_SpeechRecognition,1,v,10,3,2,4,14,0 days 00:00:00.026275
dinerojs/dinero.js,2, v,13,7,3,17,30,0 days 00:00:00.040327
vuejs/vetur,2, v,23,12,7,47,70,0 days 00:00:00.331846
graphql-java/graphql-java,2, v,40,6,12,2,42,0 days 00:00:00.294902
dotnetcore/CAP,1,v,22,4,10,30,52,0 days 00:00:00.111799
express-validator/express-validator,1,v,55,6,7,60,115,0 days 00:00:00.106525
tilt-dev/tilt,1,v,30,16,5,172,202,0 days 00:00:00.421373
hashicorp/serf,1,v,9,3,2,22,31,0 days 00:00:00.103334
bfenetworks/bfe,1,v,18,10,3,0,18,0 days 00:00:00.070564
mikaelbr/node-notifier,1,v,24,3,10,45,69,0 days 00:00:00.065869
missive/emoji-mart,1,v,20,4,7,40,60,0 days 00:00:00.062693
jackc/pgx,1,v,36,5,14,18,54,0 days 00:00:00.124554
jrnl-org/jrnl,2, v,13,3,4,24,37,0 days 00:00:00.093259
jaywcjlove/hotkeys,1,v,12,2,3,62,74,0 days 00:00:00.045387
serilog/serilog,1,v,19,3,7,13,32,0 days 00:00:00.101875
tensorflow/serving,2, r,25,5,10,27,52,0 days 00:00:00.484923
algolia/places,1,v,34,10,3,69,103,0 days 00:00:00.086848
jonls/redshift,2, v,17,3,7,2,19,0 days 00:00:00.047646
jonschlinkert/remarkable,2, v,9,5,2,13,22,0 days 00:00:00.037687
ppoffice/hexo-theme-icarus,2, v,22,2,7,9,31,0 days 00:00:00.039396
valor-software/ngx-bootstrap,2, v,31,11,7,81,112,0 days 00:00:00.167955
johnkerl/miller,2, v,29,15,8,23,52,0 days 00:00:00.426405
mwouts/jupytext,3, v. v,20,5,6,75,95,0 days 00:00:00.149371
kaorun343/vue-property-decorator,1,v,24,4,5,16,40,0 days 00:00:00.031717
ly525/luban-h5,1,v,18,6,2,14,32,0 days 00:00:00.050040
weaveworks/scope,2, v,31,15,5,30,61,0 days 00:00:00.331354
MinecraftForge/MinecraftForge,2, v,59,22,13,10,69,0 days 00:00:00.594446
angular-ui/ui-grid,1,v,24,7,7,86,110,0 days 00:00:00.304164
log4js-node/log4js-node,1,v,32,9,7,90,122,0 days 00:00:00.149591
go-acme/lego,1,v,34,12,7,17,51,0 days 00:00:00.083526
gorakhargosh/watchdog,1,v,12,2,6,35,47,0 days 00:00:00.083890
tjanczuk/edge,1,v,11,2,4,23,34,0 days 00:00:00.048912
django/channels,1,,20,7,7,44,64,0 days 00:00:00.082449
PyGithub/PyGithub,2, v,62,31,6,23,85,0 days 00:00:00.148954
devicons/devicon,1,v,17,4,5,4,21,0 days 00:00:00.170602
i-tu/Hasklig,2, v,12,3,3,0,12,0 days 00:00:00.170239
alibaba/transmittable-thread-local,2, v,18,5,8,31,49,0 days 00:00:00.171669
leongersen/noUiSlider,1,,45,7,13,58,103,0 days 00:00:00.180147
tzapu/WiFiManager,2, v,16,5,3,0,16,0 days 00:00:00.138130
ExactTarget/fuelux,1,,25,9,5,59,84,0 days 00:00:00.310277
graphql-dotnet/graphql-dotnet,2, v,42,12,6,45,87,0 days 00:00:00.121619
kartik-v/bootstrap-fileinput,1,v,26,6,3,61,87,0 days 00:00:00.083309
containers/buildah,3, V v,42,18,3,70,112,0 days 00:00:00.432094
release-it/release-it,1,,84,18,5,176,260,0 days 00:00:00.169377
go-task/task,1,v,26,7,6,26,52,0 days 00:00:00.120024
sachinchoolur/lightGallery,2, v,16,2,4,66,82,0 days 00:00:00.072053
nodegit/nodegit,1,v,27,8,10,67,94,0 days 00:00:00.209478
nhn/tui.image-editor,2, v,21,5,7,17,38,0 days 00:00:00.046246
wangyu-/udp2raw,1,,38,17,2,0,38,0 days 00:00:00.043577
vrana/adminer,1,v,17,4,11,35,52,0 days 00:00:00.138719
crossplane/crossplane,1,v,23,11,3,34,57,0 days 00:00:00.339852
lancedikson/bowser,2, v,26,8,8,33,59,0 days 00:00:00.062495
vuejs/v2.vuejs.org,1,v,8,2,3,9,17,0 days 00:00:00.027217
phan/phan,1,,33,12,10,127,160,0 days 00:00:00.463740
share/sharedb,1,v,23,5,4,111,134,0 days 00:00:00.113636
timolins/react-hot-toast,1,v,7,2,2,5,12,0 days 00:00:00.035888
ai/size-limit,1,,45,9,2,101,146,0 days 00:00:00.112512
reactchartjs/react-chartjs-2,3, v. v,24,2,2,51,75,0 days 00:00:00.045268
msiemens/tinydb,2, v,34,5,11,26,60,0 days 00:00:00.051078
arkime/arkime,1,v,32,2,16,70,102,0 days 00:00:00.243655
expressjs/body-parser,1,,21,2,8,47,68,0 days 00:00:00.066213
jvm-profiling-tools/async-profiler,1,v,14,2,9,9,23,0 days 00:00:00.051262
openpgpjs/openpgpjs,1,v,40,10,9,109,149,0 days 00:00:00.189196
jarun/buku,2, v,36,15,6,3,39,0 days 00:00:00.126141
journeyapps/zxing-android-embedded,1,v,15,2,10,7,22,0 days 00:00:00.094441
onionshare/onionshare,2, v,18,5,11,9,27,0 days 00:00:00.399474
minbrowser/min,2, v,26,4,8,31,57,0 days 00:00:00.121832
nhn/tui.chart,2, v,38,17,5,60,98,0 days 00:00:00.166102
uber/prototool,1,v,18,9,2,2,20,0 days 00:00:00.047695
laravel-mix/laravel-mix,1,v,27,16,2,105,132,0 days 00:00:00.148009
Mailtrain-org/mailtrain,1,v,25,9,2,10,35,0 days 00:00:00.118587
